Timestamp,X Position,Y Position
2024-04-01T10:49:16.522Z,243,34
2024-04-01T10:49:19.393Z,307,50
2024-04-01T10:49:21.064Z,440,52
2024-04-01T10:49:22.376Z,516,34
2024-04-01T10:49:25.289Z,1194,49
2024-04-01T10:49:28.000Z,877,815
2024-04-01T10:49:28.544Z,1011,808
2024-04-01T10:49:29.128Z,873,867
2024-04-01T10:49:29.704Z,814,911
2024-04-01T10:49:30.160Z,809,959
2024-04-01T10:49:30.504Z,807,1001
2024-04-01T10:49:31.624Z,824,1066
2024-04-01T10:49:31.928Z,831,1124
2024-04-01T10:49:32.303Z,1010,1104
2024-04-01T10:49:32.856Z,843,1152
2024-04-01T10:49:33.192Z,812,1227
2024-04-01T10:49:33.576Z,805,1215
2024-04-01T10:49:33.896Z,800,1265
2024-04-01T10:49:34.224Z,799,1302
2024-04-01T10:49:34.648Z,820,1347
2024-04-01T10:49:35.088Z,819,1400
2024-04-01T10:49:35.680Z,878,1459
2024-04-01T10:49:40.833Z,446,40
2024-04-01T10:49:42.064Z,578,483
2024-04-01T10:49:42.520Z,575,612
2024-04-01T10:49:43.024Z,593,683
2024-04-01T10:49:43.896Z,581,226
2024-04-01T10:49:44.296Z,597,316
2024-04-01T10:49:44.648Z,715,316
2024-04-01T10:49:44.968Z,660,400
2024-04-01T10:49:46.361Z,651,587
2024-04-01T10:49:49.305Z,78,36
