Timestamp,X Position,Y Position
2024-04-01T10:30:15.121Z,0,665
2024-04-01T10:30:15.122Z,690,1297
2024-04-01T10:32:02.641Z,35,152
2024-04-01T10:32:02.809Z,35,152
2024-04-01T10:32:02.993Z,35,152
2024-04-01T10:32:03.177Z,35,152
2024-04-01T10:32:03.369Z,35,152
2024-04-01T10:32:03.529Z,35,152
2024-04-01T10:32:03.721Z,35,152
2024-04-01T10:32:03.897Z,35,152
2024-04-01T10:32:04.617Z,1189,1163
2024-04-01T10:32:04.793Z,1185,1163
2024-04-01T10:32:04.969Z,1185,1163
2024-04-01T10:32:05.161Z,1170,1158
2024-04-01T10:32:05.433Z,423,913
2024-04-01T10:32:06.033Z,425,967
2024-04-01T10:32:06.553Z,662,879
2024-04-01T10:32:06.713Z,468,1059
2024-04-01T10:32:06.945Z,1171,510
2024-04-01T10:32:07.889Z,512,6
2024-04-01T10:32:08.139Z,516,32
2024-04-01T10:32:11.778Z,1228,58
2024-04-01T10:32:15.457Z,0,1032
2024-04-01T10:32:15.458Z,758,1662
2024-04-01T10:38:49.329Z,223,40
2024-04-01T10:38:52.168Z,334,45
2024-04-01T10:38:53.777Z,456,50
2024-04-01T10:38:55.225Z,545,44
2024-04-01T10:38:57.225Z,1261,39
2024-04-01T10:38:59.441Z,433,45
2024-04-01T10:39:03.120Z,949,466
2024-04-01T10:39:03.697Z,737,675
2024-04-01T10:39:35.976Z,228,299
2024-04-01T10:39:36.128Z,228,299
2024-04-01T10:39:36.288Z,228,299
2024-04-01T10:39:36.440Z,228,299
2024-04-01T10:39:37.217Z,204,34
2024-04-01T10:39:37.760Z,233,331
2024-04-01T10:39:37.960Z,233,331
2024-04-01T10:39:38.128Z,233,331
2024-04-01T10:39:38.304Z,233,331
2024-04-01T10:39:38.544Z,233,331
2024-04-01T10:43:02.409Z,688,97
2024-04-01T10:43:02.800Z,737,331
2024-04-01T10:43:03.128Z,719,471
2024-04-01T10:43:03.320Z,826,362
2024-04-01T10:43:03.848Z,407,138
2024-04-01T10:43:04.192Z,367,271
2024-04-01T10:43:04.360Z,482,216
2024-04-01T10:43:04.552Z,748,381
2024-04-01T10:43:04.736Z,758,174
2024-04-01T10:43:06.256Z,745,205
2024-04-01T10:43:13.760Z,1018,204
2024-04-01T10:43:15.280Z,209,68
2024-04-01T10:43:15.545Z,218,51
2024-04-01T10:43:15.785Z,388,55
2024-04-01T10:43:16.624Z,462,49
2024-04-01T10:43:16.953Z,431,49
2024-04-01T10:43:17.217Z,512,51
2024-04-01T10:43:18.728Z,1256,45
2024-04-01T10:43:19.744Z,439,46
2024-04-01T10:43:20.624Z,652,498
2024-04-01T10:43:24.816Z,607,615
2024-04-01T10:43:25.047Z,597,598
2024-04-01T10:43:25.256Z,585,596
2024-04-01T10:43:25.448Z,610,605
2024-04-01T10:43:25.624Z,778,647
2024-04-01T10:43:25.832Z,603,646
2024-04-01T10:43:26.265Z,654,698
2024-04-01T10:43:26.496Z,663,431
2024-04-01T10:43:27.848Z,686,215
2024-04-01T10:43:28.080Z,679,226
2024-04-01T10:43:28.264Z,679,226
2024-04-01T10:43:28.624Z,575,306
2024-04-01T10:43:28.817Z,576,306
2024-04-01T10:43:29.056Z,766,325
2024-04-01T10:43:29.368Z,754,315
2024-04-01T10:43:29.576Z,754,315
2024-04-01T10:43:29.832Z,707,390
2024-04-01T10:43:30.016Z,707,390
2024-04-01T10:43:30.441Z,689,554
2024-04-01T10:43:30.640Z,689,554
2024-04-01T10:43:30.800Z,672,529
